x1,x2
2.480345816813234,3.044351514332045
2.737695175048362,3.0200490128538187
2.9857677140204832,2.9937785746351318
3.224233733175712,2.9653927398535362
3.452754810747184,2.9349133420066815
3.671032372307352,2.902502556672002
3.8788439886520756,2.868427032632973
4.07606610051036,2.833020206662898
4.262683740202963,2.7966471416996237
4.438789254451105,2.7596749175466706
4.604572840213544,2.7224501234302863
4.760307891607445,2.6852836875161943
4.906333865438168,2.6484423295545327
5.043038807418702,2.6121453905650416
5.170843028286767,2.5765656209406105
5.290184812505555,2.541832587241291
5.401508553945673,2.508037575831081
5.505255364263922,2.4752391386710357
5.60185597983223,2.4434686844661035
5.691725675972079,2.412735736453241
5.77526085345549,2.383032646121119
5.852836965482194,2.3543386719092707
5.924807483209867,2.3266234111121484
5.991503640044935,2.2998496211905275
6.053234740087739,2.2739754923062145
6.110288859033422,2.2489564434622005
6.162933803790737,2.2247465157218107
6.211418229123498,2.201299431582227
6.2559728357624245,2.1785693823893846
6.296811595213545,2.156511597435644
6.334132962654898,2.1350827401248815
6.368121051660009,2.114241168902031
6.398946753757966,2.09394709380392
6.426768792686426,2.0741626535870306
6.451734708160736,2.054851933408756
6.473981767513199,2.0359809389073944
6.493637806004131,2.0175175391424536
6.510821998246892,1.9994313881143155
6.525645564235472,1.981693832378526
6.538212414078064,1.9642778105120613
6.548619735846174,1.947157748795865
6.556958531037918,1.930309456380604
6.563314102094691,1.9137100223432517
6.567766496252143,1.8973377163730716
6.570390909786114,1.8811718943079647
6.571258056457775,1.8651929093443953
6.570434503688525,1.8493820294408712
6.567982979716884,1.8337213612058925
6.5639626547155965,1.8181937803901795
6.558429398583085,1.8027828689769698
6.551436017872757,1.7874728587730158
6.543032474088451,1.7722485813385322
6.53326608535539,1.7570954240503738
6.522181713273387,1.741999292064122
6.5098219365723775,1.7269465759235931
6.496227213018809,1.7119241245574144
6.481436030864105,1.696919223399335
6.465485050982191,1.6819195773699058
6.448409240710941,1.6669132984605979
6.430242000291134,1.651888897666152
6.411015282685253,1.6368352810160487
6.390759707456018,1.6217417494607638
6.369504669290234,1.6065980023723847
6.347278441666376,1.5913941444217972
6.324108276083756,1.5761206955957316
6.300020497196403,1.5607686041162774
6.275040594125508,1.5453292620229113
6.249193308159981,1.5297945231726227
